app_name,price,id,developer,release_year,Accounting,Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing,user_id,steam_id,playtime_forever,playtime_2weeks,]playtime_2weeks,posted,item_id,recommend,review,year,sentiment
Half-Life,9.99,70,Valve,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kube134,76561198031442694,4,0,0,2014-06-28,251990,True,It's good to be a magical queen... if you survive to reach the coronation.,2014,2
Half-Life,9.99,70,Valve,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76561198030567998,76561198030567998,21,0,0,2014-11-11,332800,True,10/10 would take kids here for birthday,2014,1
Half-Life,9.99,70,Valve,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76561198030567998,76561198030567998,21,0,0,2015-07-21,319630,True,"Well for starters, when I write reviews they are usually just for the lols. This is not the case. This game is genuinely a masterpiece and i have never played a game that made me feel so many emotions that range all over the spectrum, i mean hell I thought The Last of Us was emotional as hell. one minute its happy then desparation then wanting to cry like a baby (points in the game specifically made me question my manhood due to how much i was trying to not break down like a baby) this game honestly does show alot of great points that are true in real life as well, like value those close to you and despite this being the internet and it not being known to be shown but, showing compassion and taking the time to give a helping hand could possibly save someones life. It is funny that a troll on tf2 would find such a great love and change of perspective from a game, call me names call me what ever the hell you like. I never thought i would go deep about a game but simply put this game, while it may not be for everyone, is a really great game and i honestly say it is worth more that just 20 dollars. 100/10",2015,2
Half-Life,9.99,70,Valve,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76561198030567998,76561198030567998,21,0,0,2015-07-05,6020,True,10/10 lets you cut people into sushi if the proper cheat is enabled,2015,1
Half-Life,9.99,70,Valve,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76561198030567998,76561198030567998,21,0,0,2015-03-12,55230,True,"10/10 has Sasha Grey, so fun for whole family.",2015,2
Half-Life,9.99,70,Valve,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76561198030567998,76561198030567998,21,0,0,2014-02-23,32430,True,"Seriously, this is one of the best starwars games there is! critics were stupid how they rated it, well concidering how it is the most sold starwars game, i highly recommend it to any other starwars geeks out there like i am.",2014,2
Half-Life,9.99,70,Valve,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,washington_,76561198044031549,33,0,0,2015-12-13,417860,True,getting dumped by a ♥♥♥♥ simulator 2005,2015,1
Half-Life,9.99,70,Valve,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mastic,76561198070257177,339,0,0,2015-08-01,304050,False,"+: Combines aspects from other games in a way that makes the game truly unique in its own way.+: One of the only if any MMO's that allows you to dig on the terrarian itself (although you can't build on the terrain unless it's in your own 'cornerstone' which is basically your own portable headquarters that you craft things at).+: For an MMO this game took an interesting style of graphics that I haven't seen done before (in an MMO).+: A bunch of classes to chose from, all seeming quite different from one another.+: The game is free.+: Can be a good MMO for someone who's never played one.+: You can 'deassemble' a weapon or accessory you don't want to turn it into crafting materials that you may find more useful.(Stating this) Many reviews on here say that the problem with the game is that it takes so long to connect to servers but this has been fixed (to my understanding).-: Although there is a huge arsenal of weapons (that you are pre-assigned based on your class e.g. Shadow Archers will ONLY receive bows) none of them actually change the way you fight or for that matter give you any feeling of variety.-: You progress so quickly that an item you picked up that you may have considered to be really good at the time can quickly become outdated in terms of stats. The game tries to make you feel good with this system of constant rewards and progression although it fails because you don't actually feel accomplished.-: No storyline, NONE.-: This game is repetitive, most of your objectives in this game are basically 'kill this and receive this' or... 'mine this and receive this'.  Due to there being no storyline you find yourself asking 'why am I even doing this?!'.-: No actual quests, you have a pre-determined set of quests that every player in the entire game is also doing. You have no freedom to do what you want (that is if you want to actually make progress within the game), you MUST complete the assigned quest to move onto the next one.-: The  entire game  is randomly generated making there feel like there's nothing to actually explore, it's just randomly generated terrain and dungeons (that also seem to be very repetitive). -: You must make an account for the game itself, this isn't so bad on its own however it can be very frustrating trying to get your verification code from your email to work (both me and my friend had the problem).-: Character customization itself is bad, (not the hats, there's plenty of those). there aren't many color options, as far as physical traits just about all you can do is change your skin color (e.g. you cannot change your height, width, etc.).-: Things in the tutorial seem to be out of order, for example around my first hour of gameplay I was being being told the buttons used to attack even though I had already killed loads of enemies.-: Does not have very much music.-: All drops are marked as uncommon/rare+ when it comes to the rarity tag of an item, I've never seen a single item marked as 'common'. I feel the game does this to make you feel more accomplished.This game has/had a lot of potential, it really did. Sadly I have to say that I must give this game a 4/10 for the reasons listed above.",2015,0
Half-Life,9.99,70,Valve,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mastic,76561198070257177,339,0,0,2014-12-30,550,True,Fun Valve classic that challenges your team work skills. This is one of those games that you can meet lots of new friends on. There's lots of replayability especially through the versus mode campaign.,2014,2
Half-Life,9.99,70,Valve,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mastic,76561198070257177,339,0,0,2014-12-27,206420,True,"Basically SR3 2.0.I’ve completed the main story of SR3 three times, I have every achievement and I’ve put in about 160 hours (PS3). That being said I’m having a blast on SR4 even though it uses a replica of Steelport (with some changes such as alien tech).Many people say the super powers ruin the game, this is totally up to you to decide. I love the super powers.. but here’s a few things to note.-	By completing side quests I’ve already unlocked unlimited super sprint stamina and I’m only on what.. the sixth mission? This should be unlocked towards the end of the game.-	I have three of the eight super powers. I can fly/glide/super jump (all one power), super sprint, and shoot freeze blasts. I’m telling you this just so you have an idea of what to expect.-	You’ll probably never rely on vehicles for transportation after a few upgrades on your super sprint, I like this but at the same time I dislike this.I’ve seen many of the old characters make an appearance so far, it brought me some warm memories.Anyways.. so far I’m really enjoying this game. I can’t say you’ll enjoy SR4 as much as the previous games but if you end up enjoying the super powers you’ll have a lot of fun with this game. I got this for 5$ so I’d say this was well worth the money I spent.",2014,2
